t_end,nobs,aic,aicc,market,mining,lifestyle
2020-01-01,300,-2540.2596375535577,-2539.638947898385,0.8475583013529858,0.21208471680567725,0.46226441377641936
2020-04-01,303,-2555.8416618601213,-2555.2273273891315,0.8463703076858845,0.21851645531365474,0.4589312454508462
2020-07-01,306,-2581.8983978404594,-2581.2902897323515,0.8453379820600909,0.22089394988544034,0.45965244084002355
2020-10-01,309,-2606.784902975036,-2606.1828962860727,0.843415106137039,0.22765185780892383,0.46158806330717084
2021-01-01,312,-2626.56518496072,-2625.969158470654,0.8400995152868832,0.23680914489540358,0.4711745354567337
2021-04-01,315,-2654.8134628290336,-2654.2232988946075,0.8402001262880426,0.2358111503514916,0.45797923389710504
2021-07-01,318,-2671.1178964703713,-2670.5334808859557,0.8426035616529515,0.26269289288173864,0.47515141051001725
2021-10-01,321,-2681.919588450672,-2681.340810315624,0.8407150674768586,0.2820720433363312,0.47570951500604725
2022-01-01,324,-2721.640075628312,-2721.0668272206685,0.8411801364698189,0.26554314965803216,0.45801276594925155
2022-04-01,327,-2716.5007591391195,-2715.932935795271,0.8408277719121066,0.2875597141149192,0.48004709036429266
2022-07-01,330,-2737.1753446628263,-2736.6128446628263,0.8400354762065725,0.2884445825551121,0.48026704392735586
2022-10-01,333,-2761.033929698242,-2760.4766541564463,0.8393614454929436,0.29397665985010185,0.46781282022171256
2023-01-01,336,-2792.1078494907288,-2791.555702251465,0.8396594392463196,0.2896784495783664,0.473320302819555
2023-04-01,339,-2792.449032868578,-2791.9019204065717,0.8443349568602424,0.293833826452649,0.48696031196459394
2023-07-01,342,-2862.112979085143,-2861.570810410444,0.8434855727627444,0.27599590543646896,0.4699083839021921
2023-10-01,345,-2856.8474437581,-2856.3101303252643,0.8425791658391911,0.27035194812069413,0.4772145654770818
2024-01-01,348,-2932.3128088095295,-2931.7802644308313,0.8422775262206331,0.21541120479476544,0.47339989126395576
2024-04-01,351,-2850.6975363944175,-2850.169677156881,0.8435361083435897,0.2981670822897387,0.4894337109555605
2024-07-01,354,-3005.6033831757313,-3005.0801273617776,0.8597753456981716,0.1973500687566143,0.4461891004170025
2024-10-01,357,-3029.4167489923498,-3028.898017003877,0.8476650648210309,0.21438173067132313,0.46062616846957716
