month_date,market,mining,lifestyle,lifestyle_melb_nsw
2000-02-01,-0.8349448235433763,-0.15350077996564498,-0.12522879358470962,-0.12335786556525927
2000-03-01,-0.8258835465344178,-0.15560087443164727,-0.12747736996739362,-0.12244595703977226
2000-04-01,-0.8213826569115875,-0.1637212238402178,-0.12757635093618042,-0.1256954779135612
2000-05-01,-0.8229566534613602,-0.16633101342576245,-0.12368251206869207,-0.11993149770029302
2000-06-01,-0.821204016848019,-0.15270713257505086,-0.1305885985153606,-0.12484640198732208
2000-07-01,-0.8156978092876346,-0.15779690167265048,-0.13010136149055906,-0.12511928542641607
2000-08-01,-0.8106693429632625,-0.15675308195709747,-0.13110688979328816,-0.1269347474268008
2000-09-01,-0.8060419732444932,-0.15920589280863195,-0.12773386332996695,-0.1262192858191233
2000-10-01,-0.797095337216486,-0.15782704404020542,-0.13223803567712383,-0.1270100495506928
2000-11-01,-0.7879830592708393,-0.16142341235902824,-0.13259819652094093,-0.1298169598262214
2000-12-01,-0.779977147975977,-0.1722086373649293,-0.12397726022468655,-0.11638044041669929
2001-01-01,-0.7691914283587146,-0.16628929766768974,-0.11751806175208601,-0.1011282449801715
2001-02-01,-0.7598524714579886,-0.17695539228693347,-0.1136847734289535,-0.09117605797662617
2001-03-01,-0.7516099399576721,-0.18961816580639845,-0.10950664773105226,-0.08250227857682815
2001-04-01,-0.7405609602459069,-0.20179084622106735,-0.11194004526143614,-0.09096281134804171
2001-05-01,-0.7282570979291418,-0.21234211288558857,-0.11714059703989996,-0.09526505868097548
2001-06-01,-0.7158800507078187,-0.21749406561899653,-0.12767887375454484,-0.11165885039156306
2001-07-01,-0.6979954643683421,-0.22045887881332216,-0.13894736241860176,-0.12539511950411328
2001-08-01,-0.683485722764758,-0.2234950228512792,-0.13923582096459342,-0.12749347399393893
2001-09-01,-0.6677043899714559,-0.23166575004630785,-0.13210423858477305,-0.11690142191329297
2001-10-01,-0.6545649973443486,-0.22541333655202445,-0.12546331452326082,-0.10890462780416729
2001-11-01,-0.6423250219237461,-0.22270806716943103,-0.11867045667062726,-0.09710937632349634
2001-12-01,-0.6298120540406709,-0.22456725111849252,-0.11231161235876941,-0.08877778288503832
2002-01-01,-0.6138132666783267,-0.22628388034868324,-0.10416484467107046,-0.08154098672917451
2002-02-01,-0.5962503949352125,-0.24674684193010477,-0.10481285276641095,-0.0807529217916245
2002-03-01,-0.5786083991391158,-0.25389561032639557,-0.1028579282807322,-0.08636496311198152
2002-04-01,-0.5625355920298554,-0.2660622823103119,-0.09921341366599079,-0.0823793559088268
2002-05-01,-0.549437331560831,-0.27024471230626834,-0.09288221627753623,-0.06611928780664142
2002-06-01,-0.5371294716054802,-0.27404819768340544,-0.07836436315554324,-0.05451106034100292
2002-07-01,-0.5178571471728799,-0.27527572338059825,-0.0609035663355012,-0.04018616156560048
2002-08-01,-0.50025470957312,-0.28577978142919147,-0.053262043572769535,-0.03364852542639615
