region,alpha,r2,durbin_watson,market,mining,lifestyle,region_level
BRISBANE - NORTH,-0.03722528521727986,0.9973655615604643,0.12417124826839747,1.0767352219727226,0.09727489944151418,0.09213112997672682,sa4_name
BRISBANE - SOUTH,-0.029667281124423628,0.9973761385547643,0.1096191730034211,1.092226809785305,0.03404876049125552,-0.005269928378973453,sa4_name
BRISBANE - WEST,-0.03352535331528084,0.9975112614832131,0.14646709521650186,0.9901799684947914,0.08388407317321463,0.08549186532943709,sa4_name
BRISBANE INNER CITY,0.030654256351006604,0.9950905086757886,0.07702025932778743,1.0911463395657084,-0.031187277149300245,0.016459190446598784,sa4_name
BUNBURY,0.05271685001372228,0.9606370863381549,0.022992302863968726,0.772541515631332,0.7937600938088077,-0.12364827327517991,sa4_name
CAIRNS,-0.06377080447595018,0.9832035899029142,0.03204836146945068,0.7818643868569164,0.4631429122019675,0.02237347786627203,sa4_name
CAPITAL REGION,0.0063611568315629086,0.9955756378975459,0.05664110340261743,1.0154643483804702,-0.11080534792634145,0.630395249672715,sa4_name
CENTRAL COAST,0.05266738592161713,0.9952339270650352,0.0821236300584106,0.89694103533728,-0.7170553945295093,0.6904466001318925,sa4_name
CENTRAL QUEENSLAND,0.1126810878436788,0.9743404182081131,0.04037862927764921,0.8193282204616325,1.1376754105241413,-0.2024105662174811,sa4_name
CENTRAL WEST,0.0010269256630829338,0.9946153114977266,0.08393869531713673,0.9256117167137872,-0.14845777506383084,0.5215583075731991,sa4_name
COFFS HARBOUR - GRAFTON,-0.04780219235600924,0.9952692462839696,0.06249252888421243,0.9850820602322412,-0.031314021739900666,0.6168540438313966,sa4_name
DARLING DOWNS - MARANOA,-0.0014815141607136262,0.9830603348800326,0.040390172235037,0.8301146742690739,0.748969287651579,-0.3092496063782823,sa4_name
DARWIN,-0.0015959116790387196,0.9860364258015971,0.042336435901308485,1.036461374489138,0.5421435380729132,-1.2634716781510384,sa4_name
FAR WEST AND ORANA,-0.07731430398584771,0.9945236531327443,0.06868674180558532,0.8455130315665669,0.1510263895260197,0.04850893354815536,sa4_name
GEELONG,0.024791961741436275,0.9929151809321859,0.0444490234244574,1.2094020920421213,-0.18719418145758354,-0.047644350773561356,sa4_name
GOLD COAST,-0.03803142456327313,0.9936938072541954,0.06745431521324183,0.9164216765313272,0.006738107751645017,0.531119175025939,sa4_name
HOBART,-0.1509534836302644,0.985673763976578,0.02439304980178425,1.1660157981458814,0.044609597071031154,0.40151273873930204,sa4_name
HUME,-0.041898614892301955,0.9925153018071053,0.05720676217496832,0.997735258599336,-0.04593185643707895,0.2813253649599993,sa4_name
HUNTER VALLEY EXC NEWCASTLE,0.0594014124061959,0.9947269453688002,0.09156011370162918,0.9639565807577559,-0.0843977948314999,0.5538282569460607,sa4_name
ILLAWARRA,-0.0012458900699137132,0.9966433173679744,0.10650390225827816,0.9937099274649189,-0.612909061698116,0.5063875567673152,sa4_name
IPSWICH,-0.04601901050690249,0.9932437579481593,0.0670815939276717,1.0301096507018668,0.4769824454377873,0.17231606998143814,sa4_name
LATROBE - GIPPSLAND,-0.011257290883470494,0.9925880537589795,0.03557514612604217,1.1012230332510333,0.05925089368248766,0.15499633311109656,sa4_name
LAUNCESTON AND NORTH EAST,-0.08449456508431918,0.987021399928175,0.030756228659568296,1.0763661347186322,0.2436967035076532,0.5306962276346741,sa4_name
LOGAN - BEAUDESERT,-0.04411570544740773,0.9948274989577824,0.0804787621945313,1.011786590072121,0.3920137311554892,0.15454319838115776,sa4_name
MACKAY - ISAAC - WHITSUNDAY,0.07426863455763966,0.9678451768475493,0.035509615814365125,0.7509784593298658,1.2267288330924913,-0.046477606073884736,sa4_name
MANDURAH,0.16935164934390856,0.9459898892616198,0.021139555693589232,0.7314268838812185,0.842330231403288,0.19958724138529937,sa4_name
