month_date,mean_mkt,lo80_mkt,hi80_mkt,lo95_mkt,hi95_mkt,mean_mining,lo80_mining,hi80_mining,lo95_mining,hi95_mining
2024 Apr,0.8929893918038307,0.8100970548293155,0.975881728778346,0.7662165022592988,1.0197622813483627,-0.1753654911649024,-0.30276714036887997,-0.04796384196092482,-0.3702094995717666,0.01947851724196173
2024 May,0.8928850588024345,0.8042339368441083,0.9815361807607608,0.7573048676506642,1.0284652499542049,-0.17161747009851955,-0.30647405073960765,-0.03676088945743147,-0.3778628122611134,0.034627872064074305
2024 Jun,0.8931542030766245,0.7987769265712518,0.9875314795819973,0.7488166142641897,1.0374917918890594,-0.1678564637175739,-0.3099829629383718,-0.025729964496776003,-0.3852201868878916,0.049507259452743785
2024 Jul,0.8949443954304837,0.7948883860552706,0.9950004048056967,0.741921934154114,1.0479668567068532,-0.1640896802315785,-0.31329367759688387,-0.01488568286627312,-0.3922775027489942,0.06409814228583718
2024 Aug,0.8985013751048874,0.7928252106896654,1.0041775395201094,0.7368836284244007,1.060119121785374,-0.16032381281495328,-0.3164072287942522,-0.004240396835654386,-0.3990327981794308,0.07838517254952423
2024 Sep,0.9023639826003189,0.7911345673795016,1.0135933978211362,0.7322532717124501,1.0724746934881877,-0.1565650659483883,-0.31932568729375477,0.006195555396978192,-0.4054859556846643,0.09235582378788765
2024 Oct,0.9055168113403179,0.7888071581706992,1.0222264645099366,0.7270247997735367,1.0840088229070992,-0.15281918065673217,-0.3220519925329907,0.01641363121952638,-0.41163843163158925,0.10600007031812486
2024 Nov,0.9077965521978657,0.7856840346803455,1.0299090697153859,0.721041572663235,1.0945515317324963,-0.1490914586816957,-0.32458980849845775,0.026406891135066307,-0.41749302303146374,0.11931010566807226
2024 Dec,0.9104053833843562,0.782970352452685,1.0378404143160274,0.7155103220305953,1.105300444738117,-0.14538678562664695,-0.32694339959949426,0.03616982834620036,-0.42305366545337053,0.13228009420007666
2025 Jan,0.9142175529508656,0.7814012117238507,1.0470338941778805,0.7110924877080095,1.1173426181937218,-0.14170965310977268,-0.32911752341121725,0.045698217191671914,-0.42832525726152126,0.1449059510419759
2025 Feb,0.9189902813693793,0.7807591233088803,1.0572214394298785,0.7075839684094247,1.130396594329334,-0.1380641799608926,-0.3311173377409747,0.05498897781918949,-0.43331350626474396,0.15718514634295871
2025 Mar,0.9234283570978152,0.7797697624371265,1.067086951758504,0.7037214961531014,1.143135218042529,-0.1344541324962362,-0.332948319930624,0.0640400549381516,-0.4380247955671507,0.1691165305746782
2025 Apr,0.9265209875949053,0.7774394648738263,1.0756025103159843,0.698520473882033,1.1545215013077776,-0.130882943904531,-0.3346161966686718,0.07285030885960977,-0.44246606596269256,0.18070017815363046
2025 May,0.9286460991663277,0.7741601063283451,1.0831320920043102,0.6923801616738414,1.164912036658814,-0.12735373277680295,-0.33612688287469084,0.0814194173210849,-0.44664471265785743,0.19193724710425153
2025 Jun,0.9313091441148142,0.7714484165333468,1.0911698716962817,0.6868232591719812,1.1757950290576473,-0.12386932081135771,-0.33748642845030064,0.08974778682758519,-0.4505684944618721,0.2028298528391566
2025 Jul,0.9357430778356646,0.7705463921722281,1.1009397634991012,0.6830965492286567,1.1883896064426724,-0.12043224972449457,-0.3387009718789291,0.09783647242994001,-0.45424545387166954,0.21338095442268035
