sa2_name,mode,loading_value,start_date,end_date
AIRLIE - WHITSUNDAYS,9,-0.02143,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,10,-0.00529,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,11,-0.03686,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,12,-0.0385,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,13,-0.00866,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,14,0.04736,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,15,0.01783,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,16,-0.00738,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,17,-0.01653,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,18,0.03435,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,19,0.0025,1998-04-01,2024-01-01
AIRLIE - WHITSUNDAYS,20,0.03537,1998-04-01,2024-01-01
AIRPORT WEST,0,0.98627,1998-04-01,2024-01-01
AIRPORT WEST,1,-0.10261,1998-04-01,2024-01-01
AIRPORT WEST,2,-0.108,1998-04-01,2024-01-01
AIRPORT WEST,3,-0.02586,1998-04-01,2024-01-01
AIRPORT WEST,4,-0.03084,1998-04-01,2024-01-01
AIRPORT WEST,5,-0.04957,1998-04-01,2024-01-01
AIRPORT WEST,6,0.00614,1998-04-01,2024-01-01
AIRPORT WEST,7,-0.00658,1998-04-01,2024-01-01
AIRPORT WEST,8,-0.01409,1998-04-01,2024-01-01
AIRPORT WEST,9,0.0065,1998-04-01,2024-01-01
AIRPORT WEST,10,-0.01162,1998-04-01,2024-01-01
AIRPORT WEST,11,0.00599,1998-04-01,2024-01-01
AIRPORT WEST,12,0.00351,1998-04-01,2024-01-01
AIRPORT WEST,13,0.00267,1998-04-01,2024-01-01
AIRPORT WEST,14,1e-05,1998-04-01,2024-01-01
AIRPORT WEST,15,0.00165,1998-04-01,2024-01-01
AIRPORT WEST,16,0.00131,1998-04-01,2024-01-01
AIRPORT WEST,17,0.00207,1998-04-01,2024-01-01
AIRPORT WEST,18,-0.00298,1998-04-01,2024-01-01
AIRPORT WEST,19,0.00027,1998-04-01,2024-01-01
AIRPORT WEST,20,-0.00069,1998-04-01,2024-01-01
AITKENVALE,0,0.89088,1998-04-01,2024-01-01
AITKENVALE,1,0.44632,1998-04-01,2024-01-01
AITKENVALE,2,-0.0183,1998-04-01,2024-01-01
AITKENVALE,3,-0.0324,1998-04-01,2024-01-01
AITKENVALE,4,0.0368,1998-04-01,2024-01-01
AITKENVALE,5,-0.0236,1998-04-01,2024-01-01
AITKENVALE,6,-0.02282,1998-04-01,2024-01-01
AITKENVALE,7,-0.0081,1998-04-01,2024-01-01
AITKENVALE,8,-0.00801,1998-04-01,2024-01-01
AITKENVALE,9,0.00609,1998-04-01,2024-01-01
AITKENVALE,10,0.0284,1998-04-01,2024-01-01
AITKENVALE,11,-0.01278,1998-04-01,2024-01-01
AITKENVALE,12,-0.02542,1998-04-01,2024-01-01
AITKENVALE,13,-0.0065,1998-04-01,2024-01-01
AITKENVALE,14,0.00689,1998-04-01,2024-01-01
AITKENVALE,15,0.00621,1998-04-01,2024-01-01
AITKENVALE,16,-0.01413,1998-04-01,2024-01-01
AITKENVALE,17,0.00522,1998-04-01,2024-01-01
AITKENVALE,18,-0.00885,1998-04-01,2024-01-01
AITKENVALE,19,0.00579,1998-04-01,2024-01-01
AITKENVALE,20,0.00855,1998-04-01,2024-01-01
ALAWA,0,0.90755,1998-04-01,2024-01-01
ALAWA,1,0.29247,1998-04-01,2024-01-01
ALAWA,2,-0.28309,1998-04-01,2024-01-01
ALAWA,3,0.0565,1998-04-01,2024-01-01
ALAWA,4,0.02115,1998-04-01,2024-01-01
ALAWA,5,0.03405,1998-04-01,2024-01-01
ALAWA,6,-0.04897,1998-04-01,2024-01-01
ALAWA,7,0.0092,1998-04-01,2024-01-01
ALAWA,8,0.00477,1998-04-01,2024-01-01
ALAWA,9,0.02863,1998-04-01,2024-01-01
ALAWA,10,0.0116,1998-04-01,2024-01-01
ALAWA,11,-0.00646,1998-04-01,2024-01-01
ALAWA,12,0.00971,1998-04-01,2024-01-01
ALAWA,13,-0.03254,1998-04-01,2024-01-01
ALAWA,14,0.00136,1998-04-01,2024-01-01
ALAWA,15,0.01982,1998-04-01,2024-01-01
ALAWA,16,-0.00551,1998-04-01,2024-01-01
ALAWA,17,0.01126,1998-04-01,2024-01-01
ALAWA,18,-0.00476,1998-04-01,2024-01-01
ALAWA,19,-0.00232,1998-04-01,2024-01-01
ALAWA,20,-0.0055,1998-04-01,2024-01-01
ALBANY,0,0.91729,1998-04-01,2024-01-01
ALBANY,1,0.36169,1998-04-01,2024-01-01
ALBANY,2,0.00418,1998-04-01,2024-01-01
ALBANY,3,0.03242,1998-04-01,2024-01-01
ALBANY,4,0.098,1998-04-01,2024-01-01
ALBANY,5,-0.07594,1998-04-01,2024-01-01
ALBANY,6,0.03637,1998-04-01,2024-01-01
ALBANY,7,0.07819,1998-04-01,2024-01-01
ALBANY,8,-0.00576,1998-04-01,2024-01-01
ALBANY,9,-0.00087,1998-04-01,2024-01-01
ALBANY,10,-0.01689,1998-04-01,2024-01-01
ALBANY,11,0.00417,1998-04-01,2024-01-01
ALBANY,12,0.01709,1998-04-01,2024-01-01
ALBANY,13,0.00731,1998-04-01,2024-01-01
ALBANY,14,-0.00111,1998-04-01,2024-01-01
ALBANY,15,-0.02759,1998-04-01,2024-01-01
ALBANY,16,-0.00589,1998-04-01,2024-01-01
ALBANY,17,0.01864,1998-04-01,2024-01-01
ALBANY,18,0.00172,1998-04-01,2024-01-01
ALBANY,19,-0.00606,1998-04-01,2024-01-01
ALBANY,20,-0.00284,1998-04-01,2024-01-01
ALBANY CREEK,0,0.99608,1998-04-01,2024-01-01
ALBANY CREEK,1,0.0275,1998-04-01,2024-01-01
ALBANY CREEK,2,0.05221,1998-04-01,2024-01-01
